,word,true,pred
0,wie,O,O
1,suster,O,O
2,lisebette,B-PERS,B-PERS
3,bi,O,O
4,den,O,O
5,ghedoghe,O,O
6,van,O,O
7,gode,B-PERS,B-PERS
8,abdesse,O,O
9,va,O,O
10,sinte,O,O
11,clare,B-PERS,O
12,typre,B-LOC,B-LOC
13,kenne,O,O
14,dat,O,O
15,jc,O,O
16,hebbe,O,O
17,ontfanghen,O,O
18,van,O,O
19,der,O,O
20,steide,O,O
21,va,O,O
22,ypre,B-LOC,B-LOC
23,in,O,O
24,de,O,O
25,name,O,O
26,en,O,O
27,ouer,O,O
28,suster,O,O
29,kateline,B-PERS,B-PERS
30,smisen,I-PERS,I-PERS
31,nonne,O,O
32,in,O,O
33,onsen,O,O
34,clooster,O,O
35,xxiiij,B-MONEY,B-MONEY
36,lb,I-MONEY,I-MONEY
37,par,I-MONEY,I-MONEY
38,als,O,O
39,va,O,O
40,de,O,O
41,paiemente,O,O
42,dat,O,O
43,haer,O,O
44,viel,O,O
45,de,O,O
46,xvsten,B-DATE,O
47,dach,I-DATE,O
48,va,I-DATE,O
49,lau,I-DATE,O
50,maent,I-DATE,O
51,va,O,O
52,de,O,O
53,welke,O,O
54,paimente,O,O
55,voors,O,O
56,en,O,O
57,van,O,O
58,alle,O,O
59,verleidene,O,O
60,paiemente,O,O
61,en,O,O
62,al,O,O
63,dat,O,O
64,atouchieren,O,O
65,mach,O,O
66,omme,O,O
67,cause,O,O
68,van,O,O
69,der,O,O
70,vors,O,O
71,lijf,O,O
72,rente,O,O
73,houdic,O,O
74,mi,O,O
75,wel,O,O
76,vernouch,O,O
77,in,O,O
78,de,O,O
79,name,O,O
80,en,O,O
81,houer,O,O
82,suster,O,O
83,kateline,B-PERS,B-PERS
84,voors,O,O
85,in,O,O
86,kennesse,O,O
87,der,O,O
88,wareide,O,O
89,so,O,O
90,hebbe,O,O
91,jc,O,O
92,abdesse,O,O
93,voors,O,O
94,deise,O,O
95,lre,O,O
96,gheseighelt,O,O
97,met,O,O
98,minen,O,O
99,zeighele,O,O
100,hute,O,O
101,hanghende,O,O
102,int,O,O
103,jaer,O,O
104,nos,O,O
105,heren,O,O
106,als,O,O
107,men,O,O
108,screef,O,O
109,mccc,B-DATE,B-DATE
110,iiijxx,I-DATE,I-DATE
111,en,I-DATE,I-DATE
112,xix,I-DATE,I-DATE
113,den,I-DATE,I-DATE
114,xvsten,I-DATE,I-DATE
115,dach,I-DATE,I-DATE
116,van,I-DATE,I-DATE
117,lau,I-DATE,I-DATE
118,maent,I-DATE,I-DATE
119,jc,O,O
120,suster,O,O
121,lisebette,B-PERS,B-PERS
122,bi,O,O
123,den,O,O
124,ghedoghe,O,O
125,van,O,O
126,gode,B-PERS,B-PERS
127,abdesse,O,O
128,van,O,O
129,sijnte,O,O
130,clare,B-PERS,O
131,typre,B-LOC,B-LOC
132,kenne,O,O
133,dat,O,O
134,ic,O,O
135,hebbe,O,O
136,ontfangen,O,O
137,van,O,O
138,der,O,O
139,steide,O,O
140,van,O,O
141,ypre,B-LOC,B-LOC
142,jn,O,O
143,de,O,O
144,name,O,O
145,en,O,O
146,ou,O,O
147,suster,O,O
148,marie,B-PERS,B-PERS
149,belles,I-PERS,I-PERS
150,nonne,O,O
151,in,O,O
152,onsen,O,O
153,clooster,O,O
154,ix,B-MONEY,B-MONEY
155,lb,I-MONEY,I-MONEY
156,par,I-MONEY,I-MONEY
157,als,O,O
158,van,O,O
159,den,O,O
160,payemente,O,O
161,dat,O,O
162,haer,O,O
163,viel,O,O
164,den,O,O
165,eerste,B-DATE,O
166,dach,I-DATE,O
167,van,I-DATE,O
